bikeid,type,lon,lat
0210024602,classical,121.59163,31.074877
0210023657,classical,121.454492,31.13294
0210024600,classical,121.511895,31.282818
0210039696,classical,121.367349,31.270949
0210039697,classical,121.412519,31.198746
0210039694,classical,121.790489,31.171431
0210039695,classical,121.40637,31.283505
0210039692,classical,121.484513,31.320222
0210039693,classical,121.483213,31.412882
0210039690,classical,121.66526,31.274976
0210039691,classical,121.4547,31.035462
0210039699,classical,121.498908,31.33102
0210016286,classical,121.465441,31.31789
0210016287,classical,121.239505,31.207885
0210016284,classical,121.538344,31.271907
0210016285,classical,121.402371,31.112171
0210016282,classical,121.506274,31.328573
0210016283,classical,121.409945,31.346107
0210016288,classical,121.363966,31.267322
0210039529,classical,121.336763,31.140334
0210015958,classical,121.428074,31.176637
0210039520,classical,121.478947,31.042483
0210039521,classical,121.338699,31.352237
0210015951,classical,121.498088,31.09735
0210015950,classical,121.373765,31.24403
0210039524,classical,121.270904,31.198641
0210039525,classical,121.403187,31.423954
0210015955,classical,121.282356,31.019258
0210015954,classical,121.328914,31.149411
0210033318,classical,121.63882,31.268638
0210025558,classical,121.362476,31.261953
0210025559,classical,121.255394,31.286194
0210012457,classical,121.436269,31.25848
0210012456,classical,121.348361,31.176017
0210012455,classical,121.500533,31.352815
0210025557,classical,121.420528,31.298029
0210025550,classical,121.657664,31.272598
0210025551,classical,121.401599,31.301334
0210012451,classical,121.645319,31.237602
0210028609,classical,121.409758,31.37587
0210028608,classical,121.39027,31.125238
0210040429,classical,121.462148,31.338651
0210040428,classical,121.439613,31.195853
0210040425,classical,121.454303,31.148683
0210028602,classical,121.743554,31.196868
0210028600,classical,121.36636,31.363844
0210028607,classical,121.257704,31.282485
0210040420,classical,121.410263,31.297935
0210028605,classical,121.238815,31.098282
0210028604,classical,121.342656,31.259195
0210027780,classical,121.390195,31.261758
0210028575,classical,121.454405,31.393615
0210027786,classical,121.371506,31.212205
0210027785,classical,121.442727,31.164997
0210015221,classical,121.197999,31.050854
0210015220,classical,121.684184,31.167945
0210015223,classical,121.496233,31.403938
0210015222,classical,121.514782,31.181114
0210015224,classical,121.332796,31.259024
0210015226,classical,121.387727,31.347234
0210040397,classical,121.511616,31.177167
0210040396,classical,121.328013,31.257133
0210040392,classical,121.850912,30.869261
0210040391,classical,121.462979,31.320241
0210051279,classical,121.199881,31.047116
0210051276,classical,121.19983,31.047167
0210051277,classical,121.212508,31.038627
0210027524,classical,121.175557,31.355881
0210051272,classical,121.512856,31.314829
0210036848,classical,121.461979,31.246314
0210051270,classical,121.199771,31.047174
0210040398,classical,121.541893,31.306336
0210036841,classical,121.499432,31.406841
0210024388,classical,121.311337,31.309324
0210024382,classical,121.418414,31.141802
0210024380,classical,121.575935,31.232452
0210024381,classical,121.315659,31.247713
0210024386,classical,121.343386,31.37027
0210024387,classical,121.339749,31.129374
0210024384,classical,121.353873,31.346236
0210024385,classical,121.344705,31.243842
0210051899,classical,121.490083,31.202086
0210051890,classical,121.449655,31.253176
0210051896,classical,121.478917,31.243501
0210020379,classical,121.387726,31.316132
0210031698,classical,121.361771,31.151001
0210031697,classical,121.16454,31.375825
0210031695,classical,121.50972,31.285098
0210031692,classical,121.438113,31.298309
0210031690,classical,121.351674,31.306425
0210037228,classical,121.502818,31.157647
0210037227,classical,121.423261,31.264561
0210037226,classical,121.552269,31.239857
0210037220,classical,121.445198,31.141444
0210037223,classical,121.436246,31.141584
0210037222,classical,121.769369,31.18247
0210034652,classical,121.376031,31.316887
0210026788,classical,121.546074,31.040554
0210026789,classical,121.329683,31.13176
0210042391,classical,121.456145,31.356289
0210020375,classical,121.23611,31.286398
0210042390,classical,121.407591,31.298523
0210011830,classical,121.289812,31.306337
0210020374,classical,121.318212,31.281967
0210011835,classical,121.230813,31.239937
0210011837,classical,121.450554,31.344431
0210042392,classical,121.275821,31.074543
0210042395,classical,121.375255,31.161537
0210045277,classical,121.57484,31.104334
0210045276,classical,121.37974,31.39269
0210045275,classical,121.362007,31.081007
0210037594,classical,121.246242,31.373734
0210045273,classical,121.577039,31.341224
0210045272,classical,121.393552,31.361965
0210037591,classical,121.57617,31.149467
0210045270,classical,121.536083,31.336901
0210042396,classical,121.393183,31.203752
0210045278,classical,121.483531,31.412929
0210044898,classical,121.374126,31.136549
0210044899,classical,121.431717,31.309536
0210044890,classical,121.509781,31.262795
0210044892,classical,121.393732,31.299505
0210044893,classical,121.525102,31.290386
0210044894,classical,121.341509,31.044705
0210044895,classical,121.399352,31.286068
0210044897,classical,121.586769,31.201595
0210036172,classical,121.447428,31.225136
0210051144,classical,121.455645,31.040326
0210036170,classical,121.246104,31.339825
0210036171,classical,121.404095,31.307593
0210036176,classical,121.393082,31.339359
0210036174,classical,121.34086,31.347633
0210027874,classical,121.43124,31.287568
0210027870,classical,121.339464,31.355149
0210042801,classical,121.222398,31.103531
0210042800,classical,121.556247,31.281954
0210042803,classical,121.321836,31.210669
0210042802,classical,121.247174,31.228654
0210042805,classical,121.545819,31.202256
0210045856,classical,121.380152,31.152528
0210045855,classical,121.311945,31.257892
0210045854,classical,121.392694,31.140502
0210042808,classical,121.427719,31.35227
0210045859,classical,121.426957,31.352024
0210027872,classical,121.495518,31.331696
0210033311,classical,121.535778,31.129267
0210041033,classical,121.465142,31.31698
0210033316,classical,121.714594,31.224515
0210031335,classical,121.512137,31.283447
0210041039,classical,121.397615,31.321474
0210031331,classical,121.443605,31.219666
0210031330,classical,121.657941,31.285721
0210031333,classical,121.254509,31.239647
0210031332,classical,121.312725,31.129013
0210031338,classical,121.502544,31.39661
