bikeid,type,lon,lat
0100018006,classical,116.3588,39.759048
0100013727,classical,116.37867,39.787653
0100013724,classical,116.475414,40.04368
0100013725,classical,116.264813,39.912865
0100018554,classical,116.207417,39.994272
0100018555,classical,116.264675,39.915837
0100013728,classical,116.427146,39.831758
0100013729,classical,116.372069,39.762963
0100018550,classical,116.285352,39.966541
0100018551,classical,116.446003,39.930347
0100018552,classical,116.303857,39.983921
0100018553,classical,116.272749,39.907032
0100019424,classical,116.289254,39.992861
0100021902,classical,116.290071,40.089762
0100021901,classical,116.344257,40.010568
0100021900,classical,116.661412,39.912956
0100011386,classical,116.246497,39.909666
0100011387,classical,116.473219,40.020387
0100021905,classical,116.461826,39.93191
0100021904,classical,116.329425,39.947144
0100021908,classical,116.593124,39.982538
0100022228,classical,116.290694,39.967331
0100022223,classical,116.323,39.926562
0100022222,classical,116.600184,39.886905
0100022220,classical,116.460785,39.928598
0100022227,classical,116.439061,40.023877
0100022226,classical,116.349087,39.922051
0100022225,classical,116.649028,39.907008
0100022224,classical,116.626328,39.906952
0100030047,classical,116.43977,40.024474
0100019979,classical,116.340358,39.807878
0100019978,classical,116.44186,40.051862
0100014491,classical,116.291728,39.781569
0100014490,classical,116.287517,39.777226
0100014493,classical,116.394402,39.966753
0100019972,classical,116.417895,40.030333
0100019975,classical,116.4226,40.034813
0100019974,classical,116.307408,40.01794
0100019977,classical,116.298582,40.047549
0100014496,classical,116.235462,39.900363
0100010389,classical,116.57643,39.910569
0100010381,classical,116.414503,40.058212
0100010380,classical,116.428347,40.005876
0100010383,classical,116.33824,40.07111
0100010385,classical,116.248251,39.832317
0100010384,classical,116.486232,39.96069
0100019107,classical,116.453718,39.904274
0100012892,classical,116.486635,39.855283
0100017603,classical,116.290133,39.998364
0100017602,classical,116.300381,39.924612
0100017605,classical,116.479866,40.128087
0100017604,classical,116.491372,39.861267
0100012895,classical,116.305643,39.977011
0100012894,classical,116.596453,39.911071
0100017609,classical,116.355993,39.916581
0100017608,classical,116.275456,39.931147
0100012899,classical,116.288972,39.829695
0100012898,classical,116.649932,39.913195
0100010031,classical,116.223894,39.905462
0100010030,classical,116.485415,40.009547
0100010037,classical,116.426508,39.858834
0100010035,classical,116.454853,39.814754
0100010039,classical,116.318455,40.004945
0100012099,classical,116.41496,40.057769
0100012098,classical,116.632615,39.87712
0100012093,classical,116.332809,39.926932
0100012092,classical,116.321248,40.036902
0100012091,classical,116.51793,39.904808
0100012090,classical,116.244909,39.979802
0100012097,classical,116.265656,39.91483
0100012096,classical,116.417239,40.116538
0100012095,classical,116.464513,40.016427
0100014809,classical,116.466393,39.972189
0100014807,classical,116.493683,39.902565
0100014802,classical,116.30369,40.066443
0100014800,classical,116.331389,39.926865
0100014801,classical,116.404923,39.839878
0100023152,classical,116.273725,40.044886
0100023150,classical,116.379821,39.896355
0100023151,classical,116.517671,39.925551
0100016462,classical,116.469391,39.92236
0100012234,classical,116.487478,39.885017
0100030678,classical,116.3247,40.054311
0100024064,classical,116.334369,40.001202
0100030673,classical,116.465166,39.934824
0100030671,classical,116.303073,40.052751
0100030670,classical,116.465996,39.934329
0100030677,classical,116.468932,39.899239
0100030676,classical,116.45485,39.83423
0100030675,classical,116.364945,39.94666
0100019899,classical,116.310818,39.999595
0100022786,classical,116.361089,40.071301
0100022787,classical,116.408085,39.927289
0100020625,classical,116.302197,39.80797
0100030908,classical,116.316277,39.976142
0100020627,classical,116.331214,39.996427
0100020626,classical,116.359604,40.07329
0100020621,classical,116.316557,39.818217
0100020620,classical,116.241302,39.927482
0100020623,classical,116.41477,39.899437
0100020622,classical,116.458709,39.983464
0100030900,classical,116.303057,40.052755
0100030903,classical,116.363566,39.97318
0100030902,classical,116.215626,39.974627
0100030905,classical,116.316255,39.976119
0100020628,classical,116.516419,39.886144
0100030451,classical,116.318194,40.033881
0100030906,classical,116.305343,39.984655
0100016268,classical,116.417556,39.899574
